step,israeli_tanks,egyptian_tanks,israeli_infantry,egyptian_infantry,bridgehead_zone_israeli,bridgehead_zone_egyptian,chinese_farm_israeli,chinese_farm_egyptian,run,group
,0.1,,,,,,,,0,0
,0.1,,,,,,,,0,0
,0.1,,,,,,,,0,0
,,,,,,,,,0,0
,200.0,1.0,0.0,0.0,7.0,1251.0,99.0,1948.0,0,0
,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0
,200.0,125.0,175.0,350.0,300.0,1269.0,105.0,1971.0,0,0
,100.0,47.87562189054727,64.93034825870647,93.37810945273633,95.77611940298507,1021.407960199005,47.12935323383085,1567.686567164179,0,0
,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,0,0
,,,,,,,,,0,0
,0.0,125.0,175.0,350.0,300.0,0.0,0.0,0.0,0,0
,1.0,125.0,175.0,350.0,300.0,0.0,0.0,0.0,0,0
,2.0,125.0,175.0,350.0,300.0,0.0,0.0,0.0,0,0
,3.0,125.0,174.0,350.0,300.0,0.0,0.0,0.0,0,0
,4.0,125.0,173.0,350.0,300.0,0.0,0.0,1.0,0,0
,5.0,125.0,172.0,350.0,300.0,0.0,0.0,5.0,0,0
,6.0,125.0,172.0,348.0,300.0,0.0,0.0,11.0,0,0
,7.0,124.0,172.0,348.0,300.0,1.0,0.0,18.0,0,0
,8.0,124.0,172.0,346.0,300.0,2.0,0.0,24.0,0,0
,9.0,124.0,172.0,346.0,300.0,3.0,0.0,29.0,0,0
,10.0,123.0,172.0,346.0,300.0,6.0,0.0,40.0,0,0
,11.0,123.0,171.0,346.0,300.0,7.0,0.0,51.0,0,0
,12.0,123.0,171.0,345.0,300.0,12.0,0.0,62.0,0,0
,13.0,123.0,170.0,345.0,300.0,17.0,0.0,75.0,0,0
,14.0,123.0,169.0,344.0,300.0,27.0,0.0,96.0,0,0
,15.0,123.0,169.0,343.0,300.0,40.0,0.0,117.0,0,0
,16.0,123.0,169.0,343.0,300.0,51.0,0.0,140.0,0,0
,17.0,123.0,169.0,342.0,300.0,66.0,0.0,167.0,0,0
,18.0,123.0,167.0,342.0,300.0,81.0,0.0,193.0,0,0
,19.0,123.0,167.0,340.0,299.0,97.0,0.0,222.0,0,0
,20.0,123.0,167.0,340.0,296.0,114.0,0.0,247.0,0,0
,21.0,122.0,167.0,340.0,294.0,132.0,0.0,278.0,0,0
,22.0,122.0,167.0,340.0,294.0,157.0,0.0,318.0,0,0
,23.0,122.0,167.0,339.0,293.0,187.0,0.0,360.0,0,0
,24.0,121.0,167.0,337.0,292.0,217.0,0.0,401.0,0,0
,25.0,121.0,167.0,337.0,289.0,240.0,0.0,433.0,0,0
,26.0,121.0,167.0,333.0,288.0,266.0,0.0,471.0,0,0
,27.0,114.0,167.0,324.0,287.0,301.0,0.0,526.0,0,0
,28.0,112.0,167.0,313.0,287.0,335.0,0.0,581.0,0,0
,29.0,110.0,167.0,306.0,285.0,379.0,0.0,644.0,0,0
,30.0,110.0,166.0,297.0,281.0,423.0,0.0,705.0,0,0
,31.0,107.0,166.0,283.0,279.0,474.0,0.0,767.0,0,0
,32.0,102.0,166.0,273.0,276.0,527.0,0.0,834.0,0,0
,33.0,101.0,166.0,263.0,268.0,570.0,0.0,880.0,0,0
,34.0,101.0,166.0,259.0,265.0,606.0,0.0,919.0,0,0
,35.0,100.0,166.0,251.0,261.0,648.0,0.0,964.0,0,0
,36.0,99.0,163.0,245.0,259.0,682.0,0.0,1002.0,0,0
,37.0,98.0,161.0,238.0,255.0,710.0,0.0,1037.0,0,0
,38.0,97.0,159.0,235.0,252.0,741.0,0.0,1072.0,0,0
,39.0,95.0,158.0,232.0,246.0,763.0,0.0,1101.0,0,0
,40.0,94.0,156.0,223.0,241.0,794.0,0.0,1137.0,0,0
,41.0,93.0,153.0,218.0,239.0,819.0,0.0,1166.0,0,0
,42.0,92.0,151.0,215.0,235.0,843.0,0.0,1191.0,0,0
,43.0,91.0,148.0,207.0,227.0,860.0,0.0,1212.0,0,0
,44.0,91.0,145.0,200.0,219.0,883.0,0.0,1238.0,0,0
,45.0,88.0,141.0,196.0,212.0,906.0,0.0,1267.0,0,0
,46.0,87.0,136.0,188.0,207.0,929.0,0.0,1293.0,0,0
,47.0,86.0,132.0,187.0,192.0,949.0,0.0,1321.0,0,0
,48.0,84.0,130.0,185.0,180.0,971.0,0.0,1354.0,0,0
,49.0,84.0,127.0,181.0,175.0,993.0,0.0,1384.0,0,0
,50.0,83.0,122.0,178.0,170.0,1012.0,0.0,1419.0,0,0
,51.0,123.0,159.0,198.0,214.0,1033.0,0.0,1455.0,0,0
,52.0,122.0,152.0,190.0,207.0,1049.0,0.0,1485.0,0,0
,53.0,120.0,148.0,187.0,204.0,1062.0,0.0,1510.0,0,0
,54.0,118.0,143.0,176.0,200.0,1073.0,0.0,1529.0,0,0
,55.0,117.0,139.0,169.0,191.0,1083.0,0.0,1548.0,0,0
,56.0,115.0,136.0,167.0,189.0,1094.0,0.0,1571.0,0,0
,57.0,115.0,134.0,166.0,184.0,1102.0,0.0,1594.0,0,0
,58.0,111.0,131.0,157.0,175.0,1113.0,0.0,1613.0,0,0
,59.0,110.0,128.0,148.0,155.0,1126.0,0.0,1641.0,0,0
,60.0,109.0,126.0,143.0,139.0,1140.0,0.0,1673.0,0,0
,61.0,106.0,124.0,138.0,124.0,1153.0,0.0,1697.0,0,0
,62.0,104.0,122.0,129.0,114.0,1165.0,0.0,1718.0,0,0
,63.0,100.0,118.0,121.0,103.0,1177.0,1.0,1736.0,0,0
,64.0,99.0,116.0,114.0,89.0,1188.0,2.0,1757.0,0,0
,65.0,93.0,109.0,109.0,78.0,1199.0,3.0,1774.0,0,0
,66.0,92.0,101.0,103.0,73.0,1211.0,5.0,1787.0,0,0
,67.0,91.0,98.0,97.0,68.0,1216.0,6.0,1796.0,0,0
,68.0,84.0,95.0,91.0,64.0,1225.0,7.0,1807.0,0,0
,69.0,81.0,95.0,83.0,61.0,1233.0,9.0,1825.0,0,0
,70.0,81.0,89.0,78.0,57.0,1237.0,10.0,1836.0,0,0
,71.0,76.0,83.0,73.0,57.0,1241.0,14.0,1843.0,0,0
,72.0,70.0,81.0,72.0,57.0,1245.0,14.0,1853.0,0,0
,73.0,68.0,75.0,66.0,54.0,1250.0,13.0,1867.0,0,0
,74.0,64.0,70.0,62.0,53.0,1256.0,14.0,1876.0,0,0
,75.0,56.0,66.0,60.0,49.0,1261.0,15.0,1885.0,0,0
,76.0,55.0,63.0,55.0,48.0,1264.0,17.0,1894.0,0,0
,77.0,53.0,61.0,52.0,45.0,1266.0,18.0,1902.0,0,0
,78.0,51.0,58.0,48.0,45.0,1266.0,19.0,1910.0,0,0
,79.0,50.0,56.0,44.0,45.0,1264.0,22.0,1914.0,0,0
,80.0,48.0,52.0,36.0,44.0,1263.0,24.0,1913.0,0,0
,81.0,48.0,51.0,35.0,43.0,1261.0,27.0,1914.0,0,0
,82.0,46.0,51.0,33.0,43.0,1264.0,26.0,1918.0,0,0
,83.0,45.0,44.0,28.0,43.0,1263.0,27.0,1917.0,0,0
,84.0,45.0,43.0,26.0,41.0,1264.0,29.0,1921.0,0,0
,85.0,42.0,40.0,26.0,41.0,1265.0,31.0,1923.0,0,0
,86.0,42.0,40.0,24.0,41.0,1265.0,32.0,1923.0,0,0
,87.0,41.0,40.0,24.0,40.0,1265.0,34.0,1928.0,0,0
,88.0,39.0,39.0,20.0,38.0,1264.0,36.0,1928.0,0,0
,89.0,37.0,36.0,19.0,38.0,1261.0,40.0,1928.0,0,0
,90.0,37.0,35.0,17.0,37.0,1261.0,42.0,1928.0,0,0
,91.0,36.0,34.0,17.0,36.0,1261.0,44.0,1934.0,0,0
,92.0,35.0,34.0,16.0,36.0,1261.0,44.0,1934.0,0,0
,93.0,35.0,34.0,13.0,36.0,1261.0,44.0,1934.0,0,0
,94.0,33.0,34.0,11.0,35.0,1264.0,45.0,1937.0,0,0
,95.0,32.0,32.0,11.0,34.0,1264.0,46.0,1937.0,0,0
,96.0,26.0,31.0,11.0,34.0,1262.0,48.0,1934.0,0,0
,97.0,26.0,31.0,11.0,33.0,1260.0,50.0,1933.0,0,0
,98.0,26.0,31.0,10.0,33.0,1259.0,53.0,1937.0,0,0
,99.0,24.0,31.0,9.0,33.0,1260.0,54.0,1942.0,0,0
,100.0,22.0,31.0,9.0,32.0,1260.0,56.0,1942.0,0,0
,101.0,21.0,31.0,8.0,32.0,1259.0,58.0,1942.0,0,0
,102.0,19.0,30.0,8.0,31.0,1260.0,58.0,1943.0,0,0
,103.0,18.0,30.0,8.0,31.0,1259.0,60.0,1943.0,0,0
,104.0,18.0,30.0,7.0,31.0,1258.0,61.0,1945.0,0,0
,105.0,18.0,30.0,6.0,31.0,1256.0,64.0,1943.0,0,0
,106.0,18.0,30.0,5.0,31.0,1253.0,67.0,1940.0,0,0
,107.0,18.0,30.0,3.0,31.0,1252.0,68.0,1938.0,0,0
,108.0,18.0,29.0,3.0,31.0,1252.0,70.0,1939.0,0,0
,109.0,17.0,28.0,3.0,31.0,1252.0,70.0,1939.0,0,0
,110.0,17.0,28.0,2.0,29.0,1252.0,70.0,1939.0,0,0
,111.0,17.0,28.0,2.0,29.0,1254.0,70.0,1939.0,0,0
,112.0,17.0,28.0,2.0,29.0,1255.0,70.0,1939.0,0,0
,113.0,16.0,28.0,2.0,28.0,1258.0,71.0,1942.0,0,0
,114.0,16.0,28.0,2.0,28.0,1258.0,72.0,1943.0,0,0
,115.0,15.0,27.0,2.0,27.0,1258.0,73.0,1945.0,0,0
,116.0,14.0,26.0,2.0,26.0,1258.0,75.0,1947.0,0,0
,117.0,13.0,26.0,2.0,24.0,1259.0,75.0,1949.0,0,0
,118.0,13.0,24.0,2.0,24.0,1261.0,74.0,1951.0,0,0
,119.0,13.0,24.0,2.0,23.0,1260.0,75.0,1951.0,0,0
,120.0,13.0,23.0,2.0,22.0,1260.0,75.0,1952.0,0,0
,121.0,13.0,22.0,2.0,22.0,1259.0,76.0,1953.0,0,0
,122.0,13.0,19.0,1.0,22.0,1262.0,75.0,1959.0,0,0
,123.0,13.0,16.0,1.0,21.0,1263.0,75.0,1962.0,0,0
,124.0,13.0,10.0,1.0,20.0,1265.0,73.0,1966.0,0,0
,125.0,12.0,8.0,1.0,20.0,1265.0,73.0,1967.0,0,0
,126.0,11.0,7.0,1.0,18.0,1265.0,73.0,1968.0,0,0
,127.0,11.0,7.0,0.0,18.0,1268.0,70.0,1971.0,0,0
,128.0,7.0,7.0,0.0,17.0,1268.0,70.0,1971.0,0,0
,129.0,7.0,7.0,0.0,17.0,1266.0,72.0,1970.0,0,0
,130.0,7.0,7.0,0.0,17.0,1266.0,72.0,1971.0,0,0
,131.0,7.0,7.0,0.0,17.0,1266.0,72.0,1970.0,0,0
,132.0,7.0,7.0,0.0,17.0,1266.0,72.0,1969.0,0,0
,133.0,7.0,7.0,0.0,17.0,1265.0,74.0,1968.0,0,0
,134.0,7.0,7.0,0.0,16.0,1266.0,75.0,1969.0,0,0
,135.0,4.0,7.0,0.0,16.0,1268.0,75.0,1971.0,0,0
,136.0,2.0,6.0,0.0,16.0,1269.0,75.0,1971.0,0,0
,137.0,2.0,6.0,0.0,15.0,1269.0,75.0,1970.0,0,0
,138.0,2.0,5.0,0.0,15.0,1268.0,77.0,1969.0,0,0
,139.0,2.0,4.0,0.0,15.0,1267.0,78.0,1968.0,0,0
,140.0,2.0,4.0,0.0,15.0,1267.0,78.0,1968.0,0,0
,141.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,142.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,143.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,144.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,145.0,2.0,4.0,0.0,14.0,1267.0,78.0,1968.0,0,0
,146.0,2.0,4.0,0.0,14.0,1268.0,78.0,1969.0,0,0
,147.0,2.0,4.0,0.0,14.0,1268.0,78.0,1969.0,0,0
,148.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,149.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,150.0,2.0,4.0,0.0,14.0,1269.0,78.0,1970.0,0,0
,151.0,2.0,4.0,0.0,14.0,1268.0,79.0,1969.0,0,0
,152.0,2.0,4.0,0.0,13.0,1268.0,79.0,1969.0,0,0
,153.0,2.0,4.0,0.0,13.0,1268.0,79.0,1969.0,0,0
,154.0,2.0,4.0,0.0,13.0,1267.0,80.0,1968.0,0,0
,155.0,2.0,4.0,0.0,12.0,1267.0,80.0,1968.0,0,0
,156.0,2.0,4.0,0.0,11.0,1266.0,82.0,1967.0,0,0
,157.0,2.0,4.0,0.0,10.0,1265.0,83.0,1966.0,0,0
,158.0,2.0,4.0,0.0,10.0,1262.0,86.0,1963.0,0,0
,159.0,2.0,4.0,0.0,10.0,1261.0,87.0,1962.0,0,0
,160.0,2.0,4.0,0.0,10.0,1261.0,87.0,1962.0,0,0
,161.0,2.0,4.0,0.0,9.0,1260.0,88.0,1961.0,0,0
,162.0,2.0,4.0,0.0,9.0,1257.0,91.0,1958.0,0,0
,163.0,2.0,3.0,0.0,9.0,1256.0,92.0,1957.0,0,0
,164.0,2.0,3.0,0.0,8.0,1255.0,93.0,1956.0,0,0
,165.0,2.0,3.0,0.0,8.0,1254.0,94.0,1955.0,0,0
,166.0,2.0,3.0,0.0,8.0,1254.0,94.0,1955.0,0,0
,167.0,2.0,3.0,0.0,8.0,1253.0,95.0,1954.0,0,0
,168.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,169.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,170.0,2.0,3.0,0.0,8.0,1251.0,97.0,1951.0,0,0
,171.0,2.0,3.0,0.0,8.0,1251.0,98.0,1951.0,0,0
,172.0,2.0,3.0,0.0,8.0,1251.0,98.0,1951.0,0,0
,173.0,2.0,3.0,0.0,8.0,1250.0,99.0,1950.0,0,0
,174.0,2.0,3.0,0.0,8.0,1249.0,100.0,1949.0,0,0
,175.0,2.0,3.0,0.0,8.0,1248.0,101.0,1948.0,0,0
,176.0,2.0,3.0,0.0,8.0,1247.0,102.0,1947.0,0,0
,177.0,2.0,3.0,0.0,7.0,1248.0,101.0,1948.0,0,0
,178.0,2.0,3.0,0.0,7.0,1249.0,101.0,1949.0,0,0
,179.0,1.0,3.0,0.0,7.0,1248.0,102.0,1948.0,0,0
,180.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,181.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,182.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,183.0,1.0,3.0,0.0,7.0,1247.0,103.0,1947.0,0,0
,184.0,1.0,3.0,0.0,7.0,1247.0,103.0,1946.0,0,0
,185.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,186.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,187.0,1.0,3.0,0.0,7.0,1246.0,104.0,1945.0,0,0
,188.0,1.0,3.0,0.0,7.0,1245.0,105.0,1944.0,0,0
,189.0,1.0,3.0,0.0,7.0,1245.0,105.0,1944.0,0,0
,190.0,1.0,2.0,0.0,7.0,1245.0,105.0,1944.0,1,1
,191.0,1.0,2.0,0.0,7.0,1246.0,104.0,1945.0,1,1
,192.0,1.0,1.0,0.0,7.0,1246.0,104.0,1945.0,1,1
,193.0,1.0,1.0,0.0,7.0,1247.0,103.0,1946.0,1,1
,194.0,1.0,1.0,0.0,7.0,1248.0,102.0,1946.0,1,1
,195.0,1.0,1.0,0.0,7.0,1249.0,101.0,1947.0,1,1
,196.0,1.0,1.0,0.0,7.0,1249.0,101.0,1947.0,1,1
,197.0,1.0,1.0,0.0,7.0,1250.0,100.0,1948.0,1,1
,198.0,1.0,0.0,0.0,7.0,1251.0,99.0,1949.0,1,1
,199.0,1.0,0.0,0.0,7.0,1251.0,99.0,1948.0,1,1
,200.0,1.0,0.0,0.0,7.0,1251.0,99.0,1948.0,1,1
